payment_id,member_id,sub_id,amount,payment_date,month,method,status,plan_name
1,1,1,85.86,2025-06-21,2025-06,VIREMENT,PAID,CrossFit Elite
2,1,2,61.48,2025-07-29,2025-07,CASH,PENDING,Yoga Flow
3,1,3,88.05,2025-08-28,2025-08,CASH,PAID,CrossFit Elite
4,1,4,51.45,2025-09-28,2025-09,CARD,PAID,Standard Premium
5,1,5,85.79,2025-11-01,2025-11,CASH,PAID,CrossFit Elite
6,1,6,93.16,2025-12-05,2025-12,CASH,PENDING,CrossFit Elite
7,1,7,89.33,2026-01-10,2026-01,CARD,PAID,CrossFit Elite
8,1,8,60.85,2026-02-14,2026-02,CASH,PAID,Yoga Flow
9,1,9,57.88,2026-03-18,2026-03,VIREMENT,PAID,Yoga Flow
10,1,10,91.06,2026-04-16,2026-04,VIREMENT,PAID,CrossFit Elite
11,2,11,92.86,2024-12-06,2024-12,CARD,FAILED,CrossFit Elite
12,2,12,89.31,2025-01-05,2025-01,CASH,PAID,CrossFit Elite
13,2,13,92.56,2025-02-04,2025-02,CARD,PAID,CrossFit Elite
14,2,14,48.85,2025-03-09,2025-03,CARD,PAID,Standard Premium
15,2,15,90.79,2025-04-05,2025-04,CASH,FAILED,CrossFit Elite
16,2,16,47.21,2025-05-11,2025-05,CARD,PAID,Standard Premium
17,2,17,87.56,2025-06-08,2025-06,VIREMENT,PAID,CrossFit Elite
18,2,18,46.8,2025-07-13,2025-07,CARD,PAID,Standard Premium
19,2,19,15.57,2025-08-12,2025-08,CASH,PAID,Day Pass
20,2,19,14.28,2025-08-13,2025-08,CASH,PENDING,Day Pass
21,2,20,50.25,2025-08-22,2025-08,CARD,PAID,Standard Premium
22,2,21,61.75,2025-09-25,2025-09,CARD,PENDING,Yoga Flow
23,2,22,58.78,2025-10-21,2025-10,CARD,PAID,Yoga Flow
24,2,23,47.45,2025-11-21,2025-11,VIREMENT,PAID,Standard Premium
25,2,24,56.43,2025-12-27,2025-12,CARD,PAID,Yoga Flow
26,2,25,93.35,2026-01-31,2026-01,VIREMENT,PAID,CrossFit Elite
27,2,26,49.46,2026-03-02,2026-03,CASH,PAID,Standard Premium
28,2,27,48.68,2026-04-05,2026-04,CASH,FAILED,Standard Premium
29,3,28,15.3,2025-11-24,2025-11,VIREMENT,PAID,Day Pass
30,3,28,14.41,2025-11-21,2025-11,VIREMENT,PAID,Day Pass
31,3,29,51.1,2025-11-26,2025-11,CARD,PAID,Standard Premium
32,3,30,87.94,2025-12-30,2025-12,CASH,PAID,CrossFit Elite
33,3,31,49.62,2026-01-27,2026-01,CARD,FAILED,Standard Premium
34,3,31,48.64,2026-01-29,2026-01,CARD,PAID,Standard Premium
35,3,31,51.37,2026-01-26,2026-01,CARD,PAID,Standard Premium
36,4,32,49.74,2025-05-15,2025-05,CASH,PAID,Standard Premium
37,4,33,14.93,2025-06-17,2025-06,CARD,PENDING,Day Pass
38,4,33,15.03,2025-06-20,2025-06,CARD,PAID,Day Pass
39,4,34,47.7,2025-06-20,2025-06,CASH,PAID,Standard Premium
40,4,35,15.12,2025-07-23,2025-07,CARD,PAID,Day Pass
41,4,36,59.89,2025-07-20,2025-07,CARD,PAID,Yoga Flow
42,4,37,50.01,2025-08-23,2025-08,CASH,PAID,Standard Premium
43,4,38,46.58,2025-09-29,2025-09,VIREMENT,PAID,Standard Premium
44,4,39,93.42,2025-10-29,2025-10,CASH,FAILED,CrossFit Elite
45,4,40,48.39,2025-11-28,2025-11,CARD,PAID,Standard Premium
46,4,41,51.05,2026-01-03,2026-01,CASH,PAID,Standard Premium
47,4,42,59.94,2026-02-04,2026-02,CASH,PAID,Yoga Flow
48,4,43,61.44,2026-03-10,2026-03,CARD,PAID,Yoga Flow
49,4,43,58.74,2026-03-07,2026-03,CARD,PAID,Yoga Flow
50,5,44,61.7,2025-10-22,2025-10,CASH,PAID,Yoga Flow
51,5,45,86.67,2025-11-23,2025-11,VIREMENT,PAID,CrossFit Elite
52,5,46,51.02,2025-12-22,2025-12,CARD,PAID,Standard Premium
53,5,47,91.5,2026-01-27,2026-01,CASH,PAID,CrossFit Elite
54,5,48,91.13,2026-03-02,2026-03,CASH,PAID,CrossFit Elite
55,5,48,86.0,2026-03-02,2026-03,CASH,PAID,CrossFit Elite
56,5,48,87.55,2026-03-02,2026-03,CASH,PAID,CrossFit Elite
57,6,49,91.89,2025-01-24,2025-01,CARD,PAID,CrossFit Elite
58,6,50,48.15,2025-03-03,2025-03,CASH,PAID,Standard Premium
59,6,51,15.12,2025-04-02,2025-04,CASH,PAID,Day Pass
60,6,52,48.29,2025-04-05,2025-04,CARD,PAID,Standard Premium
61,6,53,61.46,2025-05-14,2025-05,CASH,PAID,Yoga Flow
62,6,54,58.99,2025-06-10,2025-06,CARD,PAID,Yoga Flow
63,6,55,15.72,2025-07-12,2025-07,CASH,PAID,Day Pass
64,6,55,15.38,2025-07-15,2025-07,CASH,PAID,Day Pass
65,6,55,15.66,2025-07-17,2025-07,CASH,PAID,Day Pass
66,6,56,57.54,2025-07-18,2025-07,CASH,PAID,Yoga Flow
67,6,57,92.41,2025-08-21,2025-08,CASH,PAID,CrossFit Elite
68,6,58,57.59,2025-09-20,2025-09,CARD,PAID,Yoga Flow
69,6,59,48.94,2025-10-27,2025-10,CASH,PENDING,Standard Premium
70,6,60,14.55,2025-11-27,2025-11,CASH,FAILED,Day Pass
71,6,60,15.2,2025-12-02,2025-12,CASH,PAID,Day Pass
72,6,60,15.02,2025-12-01,2025-12,CASH,PAID,Day Pass
73,6,60,15.44,2025-11-30,2025-11,CASH,PAID,Day Pass
74,6,61,90.37,2025-12-05,2025-12,CARD,PAID,CrossFit Elite
75,6,62,58.13,2026-01-04,2026-01,CARD,PAID,Yoga Flow
76,6,63,50.18,2026-02-02,2026-02,CASH,PAID,Standard Premium
77,6,63,47.23,2026-02-05,2026-02,CASH,PAID,Standard Premium
78,6,63,47.34,2026-01-31,2026-01,CASH,PAID,Standard Premium
79,7,64,49.4,2025-11-13,2025-11,CASH,PAID,Standard Premium
80,7,65,48.99,2025-12-10,2025-12,CASH,PAID,Standard Premium
81,7,66,48.05,2026-01-10,2026-01,CARD,PAID,Standard Premium
82,7,67,93.34,2026-02-12,2026-02,CARD,PAID,CrossFit Elite
83,7,67,89.03,2026-02-11,2026-02,CARD,FAILED,CrossFit Elite
84,7,67,85.03,2026-02-12,2026-02,CARD,FAILED,CrossFit Elite
85,8,68,87.53,2026-03-09,2026-03,CASH,PAID,CrossFit Elite
86,8,69,90.54,2026-04-09,2026-04,CASH,PENDING,CrossFit Elite
87,9,70,60.85,2024-12-07,2024-12,CASH,PAID,Yoga Flow
88,9,71,60.78,2025-01-14,2025-01,VIREMENT,PAID,Yoga Flow
89,9,72,48.01,2025-02-10,2025-02,CASH,PAID,Standard Premium
90,9,73,90.58,2025-03-18,2025-03,CASH,PAID,CrossFit Elite
91,9,74,59.0,2025-04-20,2025-04,CASH,PAID,Yoga Flow
92,9,75,14.29,2025-05-25,2025-05,CASH,PAID,Day Pass
93,9,75,14.45,2025-05-25,2025-05,CASH,PAID,Day Pass
94,9,75,14.34,2025-05-27,2025-05,CASH,FAILED,Day Pass
95,9,76,59.19,2025-06-04,2025-06,CARD,PAID,Yoga Flow
96,9,77,57.18,2025-07-07,2025-07,CARD,PAID,Yoga Flow
97,9,78,89.95,2025-08-03,2025-08,CASH,PAID,CrossFit Elite
98,9,79,50.73,2025-09-05,2025-09,CARD,PENDING,Standard Premium
99,9,80,93.12,2025-10-03,2025-10,VIREMENT,PAID,CrossFit Elite
100,9,81,87.32,2025-11-03,2025-11,CASH,PAID,CrossFit Elite
101,9,82,91.0,2025-12-05,2025-12,CASH,PAID,CrossFit Elite
102,9,83,14.32,2026-01-05,2026-01,CASH,PAID,Day Pass
103,9,83,14.32,2026-01-05,2026-01,CASH,PAID,Day Pass
104,9,83,14.84,2026-01-03,2026-01,CASH,PAID,Day Pass
105,9,84,47.98,2026-01-04,2026-01,CASH,PAID,Standard Premium
106,9,85,48.2,2026-02-04,2026-02,CARD,PAID,Standard Premium
107,9,86,58.74,2026-03-08,2026-03,CASH,FAILED,Yoga Flow
108,9,87,14.96,2026-04-08,2026-04,VIREMENT,PAID,Day Pass
109,9,87,14.44,2026-04-08,2026-04,VIREMENT,PAID,Day Pass
110,9,87,14.79,2026-04-08,2026-04,VIREMENT,PAID,Day Pass
111,10,88,90.4,2025-02-23,2025-02,VIREMENT,PAID,CrossFit Elite
112,10,89,50.38,2025-03-28,2025-03,CARD,PAID,Standard Premium
113,10,90,91.35,2025-04-29,2025-04,CASH,PAID,CrossFit Elite
114,10,91,49.27,2025-05-30,2025-05,CARD,PENDING,Standard Premium
115,10,92,92.11,2025-07-04,2025-07,CARD,PAID,CrossFit Elite
116,10,93,15.35,2025-08-03,2025-08,CASH,PAID,Day Pass
117,10,93,14.58,2025-08-02,2025-08,CASH,PENDING,Day Pass
118,10,93,14.36,2025-08-03,2025-08,CASH,PAID,Day Pass
119,10,93,14.38,2025-08-01,2025-08,CASH,PAID,Day Pass
120,10,94,48.79,2025-08-05,2025-08,CARD,PAID,Standard Premium
121,10,95,84.92,2025-09-06,2025-09,CASH,PAID,CrossFit Elite
122,10,96,84.9,2025-10-06,2025-10,CASH,PAID,CrossFit Elite
123,10,97,57.54,2025-11-03,2025-11,VIREMENT,PAID,Yoga Flow
124,10,98,88.2,2025-12-05,2025-12,CASH,PAID,CrossFit Elite
125,10,99,46.96,2026-01-06,2026-01,CARD,PAID,Standard Premium
126,10,100,50.61,2026-02-08,2026-02,CASH,PAID,Standard Premium
127,11,101,49.19,2025-11-21,2025-11,CASH,PAID,Standard Premium
128,11,102,93.11,2025-12-26,2025-12,CASH,PAID,CrossFit Elite
129,11,103,91.48,2026-01-29,2026-01,CASH,PAID,CrossFit Elite
130,11,104,57.51,2026-03-05,2026-03,CARD,PAID,Yoga Flow
131,11,105,48.25,2026-04-05,2026-04,CARD,PAID,Standard Premium
132,12,106,49.05,2026-01-08,2026-01,CASH,PAID,Standard Premium
133,12,107,59.41,2026-02-12,2026-02,CARD,PAID,Yoga Flow
134,12,108,47.72,2026-03-18,2026-03,CARD,PAID,Standard Premium
135,13,109,46.71,2025-08-09,2025-08,CASH,PAID,Standard Premium
136,13,110,59.6,2025-09-12,2025-09,CASH,PAID,Yoga Flow
137,13,111,14.37,2025-10-14,2025-10,CASH,PAID,Day Pass
138,13,111,14.3,2025-10-14,2025-10,CASH,PAID,Day Pass
139,13,112,87.34,2025-10-17,2025-10,CARD,PAID,CrossFit Elite
140,13,113,15.72,2025-11-21,2025-11,CARD,PAID,Day Pass
141,13,113,15.2,2025-11-23,2025-11,CARD,PAID,Day Pass
142,13,113,15.09,2025-11-20,2025-11,CARD,PAID,Day Pass
143,13,113,15.28,2025-11-20,2025-11,CARD,PAID,Day Pass
144,13,114,90.33,2025-11-24,2025-11,CASH,PAID,CrossFit Elite
145,13,115,47.62,2025-12-29,2025-12,CASH,PAID,Standard Premium
146,13,116,51.14,2026-01-26,2026-01,CASH,PAID,Standard Premium
147,14,117,51.15,2025-11-18,2025-11,CARD,PAID,Standard Premium
148,14,118,90.58,2025-12-22,2025-12,CARD,PAID,CrossFit Elite
149,14,119,51.29,2026-01-25,2026-01,CASH,PAID,Standard Premium
150,14,120,15.34,2026-02-28,2026-02,CARD,PAID,Day Pass
151,14,120,14.3,2026-02-23,2026-02,CARD,PAID,Day Pass
152,14,121,56.88,2026-02-27,2026-02,CARD,PAID,Yoga Flow
153,14,121,57.69,2026-03-04,2026-03,CARD,PAID,Yoga Flow
154,15,122,91.31,2025-07-07,2025-07,CASH,PAID,CrossFit Elite
155,15,123,14.69,2025-08-06,2025-08,CARD,PAID,Day Pass
156,15,124,87.82,2025-08-12,2025-08,VIREMENT,PAID,CrossFit Elite
157,15,125,56.14,2025-09-17,2025-09,CASH,PAID,Yoga Flow
158,15,126,92.45,2025-10-18,2025-10,CASH,PAID,CrossFit Elite
159,15,127,49.25,2025-11-23,2025-11,VIREMENT,FAILED,Standard Premium
160,15,128,89.19,2025-12-24,2025-12,CASH,PAID,CrossFit Elite
161,15,129,47.28,2026-01-26,2026-01,CASH,FAILED,Standard Premium
162,15,130,87.15,2026-03-02,2026-03,CASH,PAID,CrossFit Elite
163,15,130,86.85,2026-03-02,2026-03,CASH,PAID,CrossFit Elite
164,16,131,15.46,2025-11-17,2025-11,VIREMENT,PAID,Day Pass
165,16,131,14.95,2025-11-14,2025-11,VIREMENT,PAID,Day Pass
