complaint_id,member_id,subject,description,created_date,status,priority,resolved_date
1,522,Problème de facturation,Lieu moins part acheter nuit côte attendre aucun consulter solitude servir lien.,2025-11-15,OPEN,LOW,
2,738,Manque de matériel,Profondément fin regretter public annoncer jouer maison genre quatre âme.,2025-12-27,OPEN,MEDIUM,
3,741,Manque de matériel,Disparaître toile dangereux continuer si durant il un question.,2026-01-12,PENDING,MEDIUM,
4,661,Cours annulé sans prévenir,Unique crise certain enlever mensonge d'autres toit élément agiter existence.,2026-03-26,RESOLVED,MEDIUM,2026-03-30
5,412,Coach absent,Loin ombre hasard malade sac dehors sueur larme page.,2026-04-05,PENDING,LOW,
6,679,Manque de matériel,Regard garçon répandre composer on justice reste ouvrage nord folie serrer ruine dernier aide demander oreille.,2025-11-16,RESOLVED,MEDIUM,2025-11-21
7,627,Cours annulé sans prévenir,Lumière voiture suite mot direction expliquer beauté flot grand demande lutter avancer rose.,2025-12-21,RESOLVED,HIGH,2025-12-27
8,514,Coach absent,D'Abord cuisine ah compagnie mois position troisième trait taire du auquel dès mot prochain.,2026-03-29,RESOLVED,LOW,2026-04-11
9,860,Autre,Chaleur mêler fortune leur si problème puis doigt refuser leur espèce grand celui intention siège.,2025-11-25,RESOLVED,HIGH,2025-12-09
10,137,Équipement défectueux,Sujet prochain charge sortir tant attention venir consentir faim pauvre souhaiter chercher vide boire clef militaire.,2025-11-13,PENDING,LOW,
11,812,Horaires non respectés,Accord souvent atteindre durant soin mener désormais décider pensée manier temps profiter marche.,2026-01-29,OPEN,LOW,
12,77,Autre,Éclater réalité menacer ciel français renverser l'une seigneur beauté marquer art.,2026-02-01,OPEN,LOW,
13,637,Autre,Moindre impossible riche déclarer sorte feuille imposer où gloire en arriver rencontrer mot haine divers.,2025-12-17,RESOLVED,LOW,2025-12-18
14,974,Vestiaires sales,Chaîne seigneur ramasser grand dieu dépasser construire disparaître vieillard découvrir également capable craindre.,2026-01-21,PENDING,LOW,
15,939,Vestiaires sales,Garçon perdre jeter ceci recueillir rentrer détruire angoisse défendre entretenir vouloir quant à vague.,2025-12-19,RESOLVED,HIGH,2025-12-28
16,900,Manque de matériel,Époque contraire sou mettre sourire chanter oui pluie alors montagne même malheur.,2025-12-13,RESOLVED,LOW,2025-12-16
17,281,Équipement défectueux,Sembler objet fort morceau aide vin juste.,2025-11-07,RESOLVED,HIGH,2025-11-10
18,884,Vestiaires sales,Problème retirer voyage éclat art désigner depuis mettre joli ce l'une paysage chef habitude vif femme.,2025-12-19,RESOLVED,MEDIUM,2025-12-23
19,762,Musique trop forte,Supérieur matière signifier soldat maître inquiétude chien retrouver chaud soleil rester intelligence maintenir dépasser répéter.,2026-01-27,RESOLVED,LOW,2026-01-28
20,320,Autre,Intérêt docteur poète prison glace dormir voie.,2026-03-10,OPEN,LOW,
21,550,Manque de matériel,Manier oncle beaucoup juge âge davantage science maître.,2026-03-29,RESOLVED,LOW,2026-04-06
22,175,Équipement défectueux,Service votre confiance prison obliger quelqu'un trembler dernier satisfaire presser père absolument.,2026-02-04,RESOLVED,LOW,2026-02-16
23,372,Équipement défectueux,Nuit assister jambe cruel chance unique signe regard rester intérieur vieux votre chef camarade voilà.,2026-01-05,RESOLVED,HIGH,2026-01-14
24,528,Horaires non respectés,En type avancer aussitôt paysan mer machine entretenir davantage seuil.,2026-01-10,RESOLVED,LOW,2026-01-17
25,211,Climatisation défaillante,Distinguer art colline angoisse inconnu seul chemin savoir effort lourd énorme.,2026-04-18,PENDING,MEDIUM,
26,236,Vestiaires sales,Être sable posséder profiter minute question dangereux abattre essuyer accorder ennemi.,2026-02-24,OPEN,MEDIUM,
27,102,Climatisation défaillante,Émotion dessus auteur rapporter marquer étranger suivant.,2026-01-10,RESOLVED,MEDIUM,2026-01-24
28,987,Coach absent,Entraîner où rencontrer machine même exiger garde exprimer attention intérieur calme rideau possible vie papier.,2026-04-20,OPEN,LOW,
29,903,Horaires non respectés,Fort entendre ce docteur fois embrasser conclure vie lune agent.,2026-01-10,PENDING,LOW,
30,948,Climatisation défaillante,Dire chiffre glisser roi voler exprimer que affirmer chaîne car pleurer caresser qualité céder enfin joli.,2025-11-07,PENDING,MEDIUM,
31,347,Manque de matériel,Égal ici espoir jour officier haut très gouvernement proposer événement dont bois encore pleurer.,2026-02-03,OPEN,LOW,
32,140,Cours annulé sans prévenir,Brusquement autre nombre champ résistance tout garçon.,2026-04-29,RESOLVED,HIGH,2026-05-08
33,622,Manque de matériel,Rue sens signe respirer doux aide mariage recueillir triste arrêter éteindre doute.,2026-02-05,RESOLVED,LOW,2026-02-18
34,500,Autre,Retourner expression retrouver aider tour tenir seuil.,2026-03-14,OPEN,LOW,
35,371,Problème de facturation,Nation as sûr point vraiment retirer histoire noir droit classe.,2026-03-01,RESOLVED,LOW,2026-03-08
36,199,Horaires non respectés,Intérêt voyage même réponse tout planche étrange brûler train malheur respirer accent haute lequel douleur robe.,2026-02-27,RESOLVED,LOW,2026-03-08
37,688,Horaires non respectés,Du travail trace dans anglais arriver considérer palais certainement.,2025-11-14,PENDING,HIGH,
