sexe,age,poids_kg,taille_cm,imc,imc_categorie,objectif,niveau,seances_semaine,type_programme,intensite,split_musculaire
homme,30,86,177,27.5,surpoids,perte_poids,avance,4,cardio_dominant,3,full_body
homme,29,66,161,25.5,surpoids,tonification,debutant,3,mixte,2,haut_bas
homme,30,108,194,28.7,surpoids,prise_masse,avance,6,musculation,3,ppl
homme,33,98,187,28.0,surpoids,prise_masse,avance,5,musculation,3,ppl
femme,38,51,162,19.4,normal,perte_poids,debutant,4,HIIT,2,full_body
homme,21,103,167,36.9,obesite,tonification,avance,5,mixte,3,push_pull
femme,58,47,152,20.3,normal,prise_masse,avance,5,musculation,4,ppl
homme,45,90,184,26.6,surpoids,prise_masse,debutant,5,musculation,2,ppl
femme,59,89,158,35.7,obesite,prise_masse,avance,5,musculation,3,ppl
homme,33,103,189,28.8,surpoids,prise_masse,debutant,4,musculation,2,push_pull
homme,33,106,180,32.7,obesite,prise_masse,debutant,4,musculation,2,push_pull
femme,57,70,165,25.7,surpoids,prise_masse,avance,6,musculation,3,ppl
homme,63,88,195,23.1,normal,prise_masse,avance,6,musculation,2,ppl
femme,47,77,154,32.5,obesite,endurance,debutant,3,cardio_dominant,3,full_body
homme,54,109,170,37.7,obesite,prise_masse,avance,5,musculation,3,ppl
femme,59,45,177,14.4,maigreur,endurance,avance,4,cardio_dominant,4,full_body
femme,26,72,159,28.5,surpoids,endurance,debutant,4,cardio_dominant,2,full_body
femme,56,51,179,15.9,maigreur,prise_masse,avance,6,musculation,3,ppl
homme,54,55,170,19.0,normal,prise_masse,intermediaire,5,musculation,2,ppl
homme,31,62,175,20.2,normal,endurance,intermediaire,5,cardio_dominant,2,full_body
homme,24,71,194,18.9,normal,tonification,debutant,4,mixte,1,haut_bas
homme,50,82,187,23.4,normal,endurance,avance,4,cardio_dominant,5,full_body
femme,44,78,178,24.6,normal,endurance,intermediaire,3,cardio_dominant,3,full_body
homme,53,84,195,22.1,normal,endurance,debutant,3,cardio_dominant,2,full_body
homme,20,97,162,37.0,obesite,prise_masse,debutant,4,musculation,2,push_pull
femme,52,91,154,38.4,obesite,prise_masse,avance,6,musculation,3,ppl
femme,58,51,153,21.8,normal,tonification,debutant,4,mixte,2,haut_bas
femme,57,88,151,38.6,obesite,tonification,avance,4,mixte,3,push_pull
femme,50,57,156,23.4,normal,perte_poids,debutant,4,HIIT,2,full_body
homme,44,64,175,20.9,normal,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,47,107,170,37.0,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
femme,40,45,162,17.1,maigreur,perte_poids,debutant,4,HIIT,1,full_body
femme,51,91,172,30.8,obesite,endurance,intermediaire,5,cardio_dominant,4,full_body
homme,53,62,173,20.7,normal,prise_masse,intermediaire,6,musculation,2,ppl
femme,48,75,168,26.6,surpoids,perte_poids,debutant,3,cardio_dominant,1,full_body
homme,41,85,164,31.6,obesite,prise_masse,debutant,4,musculation,1,push_pull
homme,58,108,165,39.7,obesite,perte_poids,avance,5,cardio_dominant,1,full_body
homme,24,105,176,33.9,obesite,endurance,debutant,4,cardio_dominant,2,full_body
homme,50,64,166,23.2,normal,perte_poids,intermediaire,3,HIIT,3,full_body
homme,34,102,175,33.3,obesite,endurance,debutant,3,cardio_dominant,2,full_body
femme,35,80,176,25.8,surpoids,perte_poids,avance,4,cardio_dominant,1,full_body
homme,33,74,166,26.9,surpoids,endurance,debutant,4,cardio_dominant,2,full_body
femme,32,99,170,34.3,obesite,prise_masse,avance,6,musculation,3,ppl
